index,date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths,DRS
7779,2021-04-24,0.0,501808.77905212477,202614.6023439216,135188.11843305116,217337.1749406453,3373.685418679089,Sao Jose do Rio Preto
7780,2021-04-25,0.0,499946.79622011905,202951.21922241093,135412.5850785783,218632.51607257375,3379.735470584766,Sao Jose do Rio Preto
7781,2021-04-26,0.0,498091.72235090134,203282.43977352747,135633.45217640835,219930.02963610523,3385.69233442924,Sao Jose do Rio Preto
7782,2021-04-27,0.0,496243.53180778096,203608.29982404245,135850.74362528537,221229.6809860601,3391.5566167889806,Sao Jose do Rio Preto
7783,2021-04-28,0.0,494402.1990688343,203928.83497845347,136064.48317567955,222531.43560684344,3397.329057990067,Sao Jose do Rio Preto
7784,2021-04-29,0.0,492567.69867389713,204244.0806981069,136274.69448256964,223835.25937608824,3403.0101688245013,Sao Jose do Rio Preto
7785,2021-04-30,0.0,490740.00527035724,204554.07223367813,136481.40106040053,225141.11833115132,3408.6005490078387,Sao Jose do Rio Preto
7786,2021-05-01,0.0,488919.0935994803,204858.84464591366,136684.62629692047,226448.978734836,3414.1007953057674,Sao Jose do Rio Preto
7787,2021-05-02,0.0,487104.938496041,205158.43280662707,136884.39345384546,227758.8070741698,3419.5115014619832,Sao Jose do Rio Preto
7788,2021-05-03,3.946870839872927e-09,485297.5148879522,205452.8713996948,137080.72566752342,229070.5700591827,3424.8332581260606,Sao Jose do Rio Preto
7789,2021-05-04,9.031187909930618e-09,483496.7977958967,205742.19492205206,137273.64594959846,230384.23462168488,3430.0666527813373,Sao Jose do Rio Preto
7790,2021-05-05,3.1256042764913565e-08,481702.7623466012,206026.4376587197,137463.17717035176,231699.76791644125,3435.212298551527,Sao Jose do Rio Preto
7791,2021-05-06,5.5319895380121816e-08,479915.3837427492,206305.63374035948,137649.342097096,233017.13731473015,3440.2707712316587,Sao Jose do Rio Preto
7792,2021-05-07,7.402848073148675e-08,478134.6372817796,206579.8171077883,137832.16337050305,234336.31040648796,3445.242649785341,Sao Jose do Rio Preto
7793,2021-05-08,8.588555628639249e-08,476360.4983547243,206849.0215144831,138011.66350627507,235657.25499894732,3450.128514594601,Sao Jose do Rio Preto
7794,2021-05-09,8.938496538287814e-08,474592.9424439347,207113.28053119988,138187.86489822585,236979.93911508148,3454.928943358388,Sao Jose do Rio Preto
7795,2021-05-10,8.302357014987076e-08,472831.945122735,207372.62754692615,138360.78981891595,238304.3309923859,3459.644511068969,Sao Jose do Rio Preto
7796,2021-05-11,6.531418442741841e-08,471077.48205507523,207627.09576983284,138530.46042028794,239630.39908166023,3464.275789988333,Sao Jose do Rio Preto
7797,2021-05-12,4.606878258662458e-08,469329.52899662656,207876.71821793253,138696.89872743472,240958.11207163052,3468.823338874324,Sao Jose do Rio Preto
7798,2021-05-13,3.0367919334186965e-08,467588.0617923822,208121.52773468566,138860.1266490097,242287.4388509472,3473.287718260304,Sao Jose do Rio Preto
7799,2021-05-14,1.3729955492107207e-08,465853.0563756904,208361.55699437708,139020.16598081382,243618.34849586172,3477.669495051756,Sao Jose do Rio Preto
7800,2021-05-15,0.0,464124.48877001967,208596.8384879933,139177.03839637453,244950.810306848,3481.969226760365,Sao Jose do Rio Preto
7801,2021-05-16,0.0,462402.33508779685,208827.40452999415,139330.76545146288,246284.79379277714,3486.187467557311,Sao Jose do Rio Preto
7802,2021-05-17,0.0,460686.571530064,209053.28725923772,139481.36858471032,247620.2686697691,3490.324768220907,Sao Jose do Rio Preto
7803,2021-05-18,0.0,458977.1743861357,209274.5186399045,139628.86911822562,248957.20486004345,3494.3816760842437,Sao Jose do Rio Preto
